,song_id,duration_mins,popularity,danceability,energy,acousticness,valence,tempo,song,performer,peak_position,year,total_charting_weeks,top10
0,ApplauseLady Gaga,3.538883333333333,71.0,66.9,78.0,2.65,73.8,139.945,Applause,Lady Gaga,4.0,2013,23.0,True
1,Story Of My LifeOne Direction,4.09155,81.0,60.0,66.3,22.5,28.599999999999998,121.07,Story Of My Life,One Direction,6.0,2013,32.0,True
2,"Bang BangJessie J, Ariana Grande & Nicki Minaj",3.3231,79.0,70.6,78.60000000000001,26.0,74.9,150.035,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3.0,2014,31.0,True
3,"Sorry, Blame It On MeAkon",4.9286666666666665,59.0,71.3,64.3,27.6,50.8,176.079,"Sorry, Blame It On Me",Akon,7.0,2007,19.0,True
4,Strange CloudsB.o.B Featuring Lil Wayne,3.77155,61.0,53.1,66.5,6.069999999999999,80.0,73.726,Strange Clouds,B.o.B Featuring Lil Wayne,7.0,2011,20.0,True
5,Begin AgainTaylor Swift,3.9602166666666667,57.0,46.7,53.2,19.900000000000002,32.1,78.748,Begin Again,Taylor Swift,7.0,2012,20.0,True
6,Speed Of SoundColdplay,4.7984333333333336,70.0,52.300000000000004,89.8,0.49100000000000005,35.5,123.085,Speed Of Sound,Coldplay,8.0,2005,20.0,True
7,Can't Be TamedMiley Cyrus,2.80355,62.0,63.7,91.9,3.5900000000000003,79.3,116.987,Can't Be Tamed,Miley Cyrus,8.0,2010,10.0,True
8,Speak NowTaylor Swift,4.012666666666667,53.0,70.89999999999999,59.9,9.5,73.5,118.975,Speak Now,Taylor Swift,8.0,2010,3.0,True
9,Teenage DreamGlee Cast,3.7557666666666667,55.0,49.3,36.199999999999996,74.0,65.0,129.739,Teenage Dream,Glee Cast,8.0,2010,3.0,True
10,SkyfallAdele,4.774666666666667,74.0,34.599999999999994,55.2,41.699999999999996,7.89,75.881,Skyfall,Adele,8.0,2012,20.0,True
11,SugarMaroon 5,3.9248833333333333,81.0,74.8,78.8,5.91,88.4,120.076,Sugar,Maroon 5,2.0,2015,42.0,True
12,So WhatP!nk,3.586,69.0,53.400000000000006,87.0,0.0329,46.2,126.019,So What,P!nk,1.0,2008,31.0,True
13,Bad RomanceLady Gaga,4.90955,80.0,69.6,92.10000000000001,0.314,71.39999999999999,119.001,Bad Romance,Lady Gaga,2.0,2010,34.0,True
14,6 Foot 7 FootLil Wayne Featuring Cory Gunz,4.1431,71.0,36.5,75.1,0.0707,60.4,79.119,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9.0,2011,21.0,True
15,Take CareDrake Featuring Rihanna,4.6231,72.0,62.9,51.5,2.67,29.9,121.845,Take Care,Drake Featuring Rihanna,7.0,2012,34.0,True
16,StarshipsNicki Minaj,3.5104333333333333,69.0,74.7,71.6,13.5,75.1,125.008,Starships,Nicki Minaj,5.0,2012,31.0,True
17,ChangeTaylor Swift,4.6706666666666665,48.0,54.1,77.0,0.40800000000000003,21.5,96.013,Change,Taylor Swift,10.0,2008,3.0,True
18,SkyscraperDemi Lovato,3.6882166666666665,68.0,48.4,60.4,14.899999999999999,18.099999999999998,103.316,Skyscraper,Demi Lovato,10.0,2011,15.0,True
19,PerfectOne Direction,3.8388833333333334,75.0,64.7,82.3,5.9799999999999995,39.6,99.933,Perfect,One Direction,10.0,2015,8.0,True
20,A Little Bit LongerJonas Brothers,3.4168833333333333,53.0,30.4,61.199999999999996,3.08,27.900000000000002,156.286,A Little Bit Longer,Jonas Brothers,11.0,2008,1.0,False
21,Rumour Has It / Someone Like YouGlee Cast,3.4657666666666667,56.0,64.0,89.60000000000001,27.500000000000004,75.1,123.071,Rumour Has It / Someone Like You,Glee Cast,11.0,2011,3.0,False
22,So GoodB.o.B,3.5542166666666666,64.0,66.0,90.0,4.03,59.099999999999994,85.51,So Good,B.o.B,11.0,2012,18.0,False
23,DianaOne Direction,3.0777666666666668,64.0,54.900000000000006,86.8,6.04,75.5,171.96,Diana,One Direction,11.0,2013,1.0,False
24,DirtFlorida Georgia Line,3.8431,63.0,55.400000000000006,87.5,6.61,54.300000000000004,121.976,Dirt,Florida Georgia Line,11.0,2014,20.0,False
25,Somewhere Over The RainbowKatharine McPhee,3.50555,41.0,43.0,20.3,86.3,10.5,119.884,Somewhere Over The Rainbow,Katharine McPhee,12.0,2006,4.0,False
26,Ring The AlarmBeyonce,3.3891,53.0,45.800000000000004,75.1,2.9899999999999998,48.0,169.673,Ring The Alarm,Beyonce,11.0,2006,14.0,False
27,AirplanesB.o.B Featuring Hayley Williams,3.008,76.0,66.0,86.7,11.0,37.7,93.033,Airplanes,B.o.B Featuring Hayley Williams,2.0,2010,30.0,True
28,Take A Little RideJason Aldean,3.1268833333333332,58.0,47.199999999999996,86.6,4.3999999999999995,77.5,163.867,Take A Little Ride,Jason Aldean,12.0,2012,20.0,False
29,Scream & Shoutwill.i.am & Britney Spears,4.723333333333334,74.0,77.2,68.5,1.9,50.1,130.033,Scream & Shout,will.i.am & Britney Spears,3.0,2013,24.0,True
30,Burnin' It DownJason Aldean,3.6526666666666667,64.0,68.10000000000001,79.5,30.5,64.0,135.939,Burnin' It Down,Jason Aldean,12.0,2014,20.0,False
31,OursTaylor Swift,3.965333333333333,56.0,60.8,56.89999999999999,53.7,23.799999999999997,159.845,Ours,Taylor Swift,13.0,2011,20.0,False
32,State Of GraceTaylor Swift,4.919766666666667,55.0,58.4,83.39999999999999,0.0166,42.0,129.958,State Of Grace,Taylor Swift,13.0,2012,1.0,False
33,Do What U WantLady Gaga Featuring R. Kelly,3.60955,55.0,77.7,79.4,36.9,52.900000000000006,97.505,Do What U Want,Lady Gaga Featuring R. Kelly,13.0,2013,19.0,False
34,Steal My GirlOne Direction,3.802216666666667,74.0,53.6,76.8,0.43299999999999994,54.50000000000001,77.217,Steal My Girl,One Direction,13.0,2014,18.0,False
35,Push It To The LimitCorbin Bleu,3.2826666666666666,52.0,81.39999999999999,90.0,1.1199999999999999,76.1,125.988,Push It To The Limit,Corbin Bleu,14.0,2007,5.0,False
36,SingEd Sheeran,3.923033333333333,71.0,81.8,67.0,30.4,93.89999999999999,119.988,Sing,Ed Sheeran,13.0,2014,20.0,False
37,Break FreeAriana Grande Featuring Zedd,2.5263833333333334,55.0,68.7,70.19999999999999,0.64,28.4,129.956,Break Free,Ariana Grande Featuring Zedd,4.0,2014,22.0,True
38,"All DayKanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",5.181766666666666,63.0,85.5,63.800000000000004,6.4799999999999995,41.199999999999996,122.967,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15.0,2015,15.0,False
39,Pushin' Me AwayJonas Brothers,3.052,48.0,46.9,89.4,1.79,45.2,161.959,Pushin' Me Away,Jonas Brothers,16.0,2008,2.0,False
40,ParadiseColdplay,4.645316666666667,79.0,44.9,58.5,5.220000000000001,20.3,139.627,Paradise,Coldplay,15.0,2011,32.0,False
41,RonanTaylor Swift,4.421766666666667,47.0,56.49999999999999,25.5,64.60000000000001,17.4,57.964,Ronan,Taylor Swift,16.0,2012,2.0,False
42,DiamondsRihanna,3.7524333333333333,67.0,56.39999999999999,71.0,0.125,39.300000000000004,91.972,Diamonds,Rihanna,1.0,2012,26.0,True
43,That's My Kind Of NightLuke Bryan,3.169766666666667,70.0,66.0,75.4,6.260000000000001,89.9,110.02,That's My Kind Of Night,Luke Bryan,15.0,2013,21.0,False
44,Say SomethingA Great Big World & Christina Aguilera,3.8233333333333333,80.0,40.699999999999996,14.7,85.7,7.6499999999999995,141.284,Say Something,A Great Big World & Christina Aguilera,4.0,2014,26.0,True
45,Amnesia5 Seconds Of Summer,3.9541166666666667,70.0,57.199999999999996,49.9,2.83,10.8,101.593,Amnesia,5 Seconds Of Summer,16.0,2014,20.0,False
46,She Will Be LovedMaroon 5,4.324216666666667,81.0,64.1,66.7,24.9,51.0,102.002,She Will Be Loved,Maroon 5,5.0,2005,41.0,True
47,Because Of YouKelly Clarkson,3.6582166666666667,73.0,58.3,58.4,25.4,13.600000000000001,140.039,Because Of You,Kelly Clarkson,7.0,2005,37.0,True
48,Come To MeDiddy Featuring Nicole Scherzinger,4.6131,51.0,81.89999999999999,48.5,1.76,38.6,96.998,Come To Me,Diddy Featuring Nicole Scherzinger,9.0,2006,20.0,True
49,Say It RightNelly Furtado,3.718,57.0,87.1,87.3,4.88,81.3,116.945,Say It Right,Nelly Furtado,1.0,2007,30.0,True
50,A Bay BayHurricane Chris,4.285333333333333,54.0,57.699999999999996,66.8,10.5,70.19999999999999,60.709,A Bay Bay,Hurricane Chris,7.0,2007,20.0,True
51,BartenderT-Pain Featuring Akon,3.98,71.0,67.5,39.4,6.11,40.5,104.987,Bartender,T-Pain Featuring Akon,5.0,2007,22.0,True
52,Summertime SadnessLana Del Rey & Cedric Gervais,4.423783333333334,64.0,56.49999999999999,65.4,5.42,23.5,111.968,Summertime Sadness,Lana Del Rey & Cedric Gervais,6.0,2013,23.0,True
53,Blame ItJamie Foxx Featuring T-Pain,4.8291,67.0,67.30000000000001,61.4,7.82,36.199999999999996,176.052,Blame It,Jamie Foxx Featuring T-Pain,2.0,2009,27.0,True
54,Me & UCassie,3.20355,73.0,80.30000000000001,45.4,35.199999999999996,73.9,99.99,Me & U,Cassie,3.0,2006,27.0,True
55,Marry MeTrain,3.4242166666666667,73.0,46.1,26.700000000000003,83.39999999999999,48.1,87.918,Marry Me,Train,34.0,2011,20.0,False
56,Let Her GoPassenger,4.2122166666666665,76.0,47.9,54.50000000000001,36.5,24.4,74.897,Let Her Go,Passenger,5.0,2014,43.0,True
57,King Without A CrownMatisyahu,3.7064333333333335,56.0,69.69999999999999,85.9,3.49,69.6,93.78,King Without A Crown,Matisyahu,28.0,2006,14.0,False
58,Leave The Night OnSam Hunt,3.2026666666666666,66.0,51.4,95.1,9.51,83.8,171.96,Leave The Night On,Sam Hunt,30.0,2014,21.0,False
59,ExchangeBryson Tiller,3.24355,80.0,53.0,43.3,10.8,27.400000000000002,160.14,Exchange,Bryson Tiller,53.0,2015,7.0,False
60,Misery BusinessParamore,3.525333333333333,72.0,51.7,90.60000000000001,0.272,73.1,172.977,Misery Business,Paramore,26.0,2008,30.0,False
61,Me EnamoraJuanes,3.2102166666666667,63.0,68.4,85.0,1.73,92.2,94.003,Me Enamora,Juanes,69.0,2007,14.0,False
62,Good TimeAlan Jackson,5.1128833333333334,59.0,65.2,76.7,3.55,73.0,132.017,Good Time,Alan Jackson,40.0,2008,20.0,False
63,Like Jesus DoesEric Church,3.3122166666666666,56.0,57.599999999999994,35.5,43.9,29.9,137.232,Like Jesus Does,Eric Church,59.0,2013,17.0,False
64,Girl ToniteTwista Featuring Trey Songz,3.68955,48.0,66.8,72.39999999999999,0.551,31.8,148.522,Girl Tonite,Twista Featuring Trey Songz,14.0,2005,20.0,False
65,Must Be Doin' Somethin' RightBilly Currington,4.4931,64.0,48.6,65.60000000000001,21.2,39.5,167.804,Must Be Doin' Somethin' Right,Billy Currington,39.0,2005,20.0,False
66,MaybeSick Puppies,3.4353333333333333,42.0,43.7,91.3,1.71,53.7,167.861,Maybe,Sick Puppies,56.0,2011,15.0,False
67,Meanwhile Back At Mama'sTim McGraw Featuring Faith Hill,3.8017666666666665,54.0,52.400000000000006,67.9,58.3,67.60000000000001,172.977,Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill,41.0,2014,19.0,False
68,Earned It (Fifty Shades Of Grey)The Weeknd,4.628,72.0,64.7,29.099999999999998,40.8,40.0,119.839,Earned It (Fifty Shades Of Grey),The Weeknd,3.0,2015,43.0,True
69,Just DanceLady Gaga Featuring Colby O'Donis,4.032216666666667,68.0,82.19999999999999,75.3,3.37,70.89999999999999,118.982,Just Dance,Lady Gaga Featuring Colby O'Donis,1.0,2009,49.0,True
70,Got Me GoingDAY26,4.706216666666666,40.0,75.5,72.8,9.139999999999999,53.7,108.816,Got Me Going,DAY26,79.0,2008,3.0,False
71,GonnaBlake Shelton,3.0491,54.0,66.7,88.6,2.65,94.8,146.076,Gonna,Blake Shelton,54.0,2015,13.0,False
72,It's Okay (One Blood)The Game Featuring Junior Reid,4.293333333333333,50.0,60.4,86.7,0.11199999999999999,61.4,163.411,It's Okay (One Blood),The Game Featuring Junior Reid,71.0,2006,15.0,False
73,MagnificentRick Ross Featuring John Legend,4.291333333333333,49.0,61.5,74.7,0.9129999999999999,42.1,91.347,Magnificent,Rick Ross Featuring John Legend,62.0,2009,11.0,False
74,Gotta Make ItTrey Songz Featuring Twista,4.05465,47.0,75.3,88.1,9.09,80.80000000000001,140.007,Gotta Make It,Trey Songz Featuring Twista,87.0,2005,7.0,False
75,Georgia ClayJosh Kelley,3.062666666666667,36.0,61.199999999999996,73.1,6.99,56.00000000000001,106.982,Georgia Clay,Josh Kelley,87.0,2011,3.0,False
76,Money In The BankSwizz Beatz,3.1986666666666665,52.0,83.7,69.69999999999999,1.08,63.1,97.927,Money In The Bank,Swizz Beatz,84.0,2007,4.0,False
77,EnergyKeri Hilson,3.497333333333333,48.0,41.6,78.2,9.17,60.199999999999996,75.451,Energy,Keri Hilson,78.0,2008,9.0,False
78,Drink To That All NightJerrod Niemann,3.7468833333333333,61.0,63.9,84.6,3.25,47.5,115.965,Drink To That All Night,Jerrod Niemann,34.0,2014,20.0,False
79,Family ManCraig Campbell,3.6531,42.0,55.400000000000006,62.1,16.2,15.1,155.817,Family Man,Craig Campbell,84.0,2011,6.0,False
80,MJB Da MVPMary J. Blige Featuring The Game & 50 Cent,3.35355,48.0,74.5,73.9,13.100000000000001,48.1,100.002,MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent,75.0,2005,8.0,False
81,Hey Pretty GirlKip Moore,3.5986666666666665,60.0,29.099999999999998,40.0,14.499999999999998,9.35,83.112,Hey Pretty Girl,Kip Moore,41.0,2013,20.0,False
82,How Many Drinks?Miguel,4.549766666666667,60.0,37.9,60.8,0.311,24.099999999999998,81.822,How Many Drinks?,Miguel,69.0,2013,20.0,False
83,FirecrackerJosh Turner,3.4797666666666665,49.0,44.7,96.89999999999999,9.700000000000001,74.6,174.799,Firecracker,Josh Turner,50.0,2007,20.0,False
84,EverybodyKeith Urban,3.9528833333333333,40.0,41.699999999999996,48.8,4.2299999999999995,20.599999999999998,188.209,Everybody,Keith Urban,64.0,2008,19.0,False
85,Let Me See Ya GirlCole Swindell,3.1264333333333334,60.0,52.300000000000004,83.39999999999999,25.4,44.5,92.99,Let Me See Ya Girl,Cole Swindell,59.0,2015,18.0,False
86,Good ThingSage The Gemini Featuring Nick Jonas,3.7853333333333334,50.0,56.00000000000001,71.89999999999999,1.66,21.0,94.026,Good Thing,Sage The Gemini Featuring Nick Jonas,75.0,2015,8.0,False
87,Life Ain't Always BeautifulGary Allan,3.74355,48.0,48.1,50.8,21.6,26.8,86.013,Life Ain't Always Beautiful,Gary Allan,61.0,2006,16.0,False
88,Look At YouBig & Rich,3.7284333333333333,50.0,50.3,82.19999999999999,6.81,71.39999999999999,164.013,Look At You,Big & Rich,73.0,2014,14.0,False
89,I Like It Like ThatHot Chelle Rae Featuring New Boyz,3.1366666666666667,64.0,74.2,78.4,3.08,65.0,101.002,I Like It Like That,Hot Chelle Rae Featuring New Boyz,28.0,2012,20.0,False
90,High SchoolNicki Minaj Featuring Lil Wayne,3.645766666666667,57.0,53.1,68.30000000000001,13.5,21.2,84.817,High School,Nicki Minaj Featuring Lil Wayne,64.0,2013,14.0,False
91,Little Red WagonMiranda Lambert,3.406433333333333,56.0,58.4,81.3,2.97,77.4,95.081,Little Red Wagon,Miranda Lambert,55.0,2015,11.0,False
92,I'm A HustlaCassidy,4.332216666666667,51.0,72.7,91.3,28.299999999999997,61.8,90.985,I'm A Hustla,Cassidy,34.0,2005,19.0,False
93,Got 2 Luv USean Paul Featuring Alexis Jordan,3.2773333333333334,48.0,60.5,79.3,8.25,64.7,184.032,Got 2 Luv U,Sean Paul Featuring Alexis Jordan,84.0,2011,6.0,False
94,How 'Bout Them CowgirlsGeorge Strait,3.93,51.0,61.7,79.9,39.5,45.2,117.03,How 'Bout Them Cowgirls,George Strait,49.0,2008,20.0,False
95,Hard To LoveLee Brice,3.7382166666666667,72.0,63.800000000000004,72.2,1.1900000000000002,46.9,103.017,Hard To Love,Lee Brice,27.0,2012,23.0,False
96,Lookin' For That GirlTim McGraw,4.355766666666667,39.0,50.4,84.8,0.634,45.800000000000004,76.965,Lookin' For That Girl,Tim McGraw,85.0,2014,4.0,False
97,God Made GirlsRaeLynn,3.58355,56.0,48.8,91.7,8.97,77.2,156.053,God Made Girls,RaeLynn,61.0,2015,16.0,False
98,How Country FeelsRandy Houser,3.0984333333333334,68.0,67.80000000000001,83.89999999999999,3.7900000000000005,77.2,104.952,How Country Feels,Randy Houser,42.0,2013,20.0,False
99,Love Don't Live HereLady Antebellum,3.84,48.0,65.3,87.1,6.25,62.0,139.937,Love Don't Live Here,Lady Antebellum,53.0,2008,18.0,False
100,Love Like WoeThe Ready Set,3.340883333333333,57.0,69.69999999999999,77.5,13.900000000000002,82.19999999999999,90.015,Love Like Woe,The Ready Set,27.0,2010,21.0,False
101,Enough Of No LoveKeyshia Cole Featuring Lil Wayne,3.8237666666666668,43.0,64.0,62.4,1.77,46.400000000000006,86.802,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,84.0,2012,9.0,False
102,More Than MilesBrantley Gilbert,4.214433333333333,49.0,47.0,77.8,2.9499999999999997,44.800000000000004,152.005,More Than Miles,Brantley Gilbert,73.0,2013,19.0,False
103,Love's Gonna Make It AlrightGeorge Strait,3.8148833333333334,51.0,71.0,86.0,23.799999999999997,73.1,110.995,Love's Gonna Make It Alright,George Strait,61.0,2012,11.0,False
104,FishCraig Campbell,2.7946666666666666,52.0,62.8,66.7,16.3,58.4,160.01,Fish,Craig Campbell,83.0,2011,10.0,False
105,On Top Of The WorldImagine Dragons,3.164,67.0,63.5,92.60000000000001,8.93,76.1,100.048,On Top Of The World,Imagine Dragons,79.0,2014,20.0,False
106,One Less Lonely GirlJustin Bieber,3.818433333333333,67.0,57.699999999999996,77.9,15.1,71.6,86.985,One Less Lonely Girl,Justin Bieber,16.0,2009,16.0,False
107,My Homies StillLil Wayne Featuring Big Sean,4.109333333333334,49.0,74.9,64.3,0.124,47.199999999999996,74.996,My Homies Still,Lil Wayne Featuring Big Sean,38.0,2012,13.0,False
108,One More NightMaroon 5,3.657766666666667,68.0,71.0,80.0,5.63,63.5,93.01,One More Night,Maroon 5,1.0,2012,42.0,True
109,First TimeLifehouse,3.394,49.0,44.2,95.19999999999999,0.00241,50.5,130.682,First Time,Lifehouse,26.0,2007,26.0,False
110,I'm SprungT-Pain,3.8452166666666665,68.0,72.2,32.9,8.799999999999999,16.6,99.991,I'm Sprung,T-Pain,8.0,2005,26.0,True
111,Got MoneyLil Wayne Featuring T-Pain,4.0771,61.0,44.2,63.800000000000004,0.199,70.6,82.206,Got Money,Lil Wayne Featuring T-Pain,10.0,2008,27.0,True
112,ImpossibleShontelle,3.77555,70.0,59.9,62.4,38.5,53.900000000000006,90.034,Impossible,Shontelle,13.0,2010,20.0,False
113,Make It RainFat Joe Featuring Lil Wayne,4.12355,54.0,74.4,69.69999999999999,1.06,76.7,149.28,Make It Rain,Fat Joe Featuring Lil Wayne,13.0,2007,24.0,False
114,In The AyerFlo Rida Featuring will.i.am,3.6751,56.0,83.0,74.6,0.45599999999999996,64.60000000000001,125.992,In The Ayer,Flo Rida Featuring will.i.am,9.0,2008,21.0,True
115,"I'm So HoodDJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",4.256666666666667,50.0,71.1,88.5,1.9900000000000002,51.4,130.954,I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",19.0,2007,20.0,False
116,Flex (Ooh Ooh Ooh)Rich Homie Quan,2.9445666666666668,64.0,72.8,62.0,3.8,88.5,81.998,Flex (Ooh Ooh Ooh),Rich Homie Quan,26.0,2015,27.0,False
117,I'm Different2 Chainz,3.4506666666666668,60.0,93.60000000000001,70.19999999999999,4.73,70.39999999999999,97.524,I'm Different,2 Chainz,27.0,2013,20.0,False
118,GrenadeBruno Mars,3.7208833333333335,76.0,70.6,55.800000000000004,14.6,22.7,110.443,Grenade,Bruno Mars,1.0,2011,36.0,True
119,Marry MeJason Derulo,3.7504333333333335,62.0,56.8,63.1,3.3000000000000003,23.0,105.096,Marry Me,Jason Derulo,26.0,2013,17.0,False
120,Ice BoxOmarion,4.273766666666667,65.0,77.5,73.1,18.9,82.1,131.105,Ice Box,Omarion,12.0,2007,21.0,False
121,Finally Found YouEnrique Iglesias Featuring Sammy Adams,3.6802166666666665,52.0,62.2,88.1,1.09,66.4,127.958,Finally Found You,Enrique Iglesias Featuring Sammy Adams,24.0,2012,14.0,False
122,Love MyselfHailee Steinfeld,3.6462166666666667,75.0,61.7,75.9,0.26,32.4,122.925,Love Myself,Hailee Steinfeld,30.0,2015,16.0,False
123,Mr. SaxobeatAlexandra Stan,3.25175,58.0,71.1,92.80000000000001,2.39,74.5,127.047,Mr. Saxobeat,Alexandra Stan,21.0,2011,20.0,False
124,DowntownLady Antebellum,3.2644333333333333,63.0,53.2,82.5,18.0,96.0,169.961,Downtown,Lady Antebellum,29.0,2013,20.0,False
125,Money In The BankLil Scrappy Featuring Young Buck,3.8951,53.0,88.0,69.3,5.99,76.7,75.603,Money In The Bank,Lil Scrappy Featuring Young Buck,28.0,2006,20.0,False
126,HereAlessia Cara,3.3242166666666666,67.0,37.6,82.1,7.85,33.1,120.462,Here,Alessia Cara,8.0,2015,19.0,True
127,I Will WaitMumford & Sons,4.612,70.0,48.0,75.6,0.993,44.7,131.127,I Will Wait,Mumford & Sons,12.0,2013,39.0,False
128,How Do You Sleep?Jesse McCartney Featuring Ludacris,3.4722166666666667,58.0,74.9,87.2,35.4,53.6,105.994,How Do You Sleep?,Jesse McCartney Featuring Ludacris,26.0,2009,20.0,False
129,My Songs Know What You Did In The Dark (Light Em Up)Fall Out Boy,3.113766666666667,69.0,55.800000000000004,92.4,2.71,56.699999999999996,151.99,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,13.0,2013,26.0,False
130,Flashing LightsKanye West Featuring Dwele,3.9584333333333332,73.0,63.9,62.8,3.81,43.0,90.482,Flashing Lights,Kanye West Featuring Dwele,29.0,2008,20.0,False
131,Just Got Started Lovin' YouJames Otto,3.9106666666666667,64.0,70.5,60.6,15.9,87.6,98.001,Just Got Started Lovin' You,James Otto,27.0,2008,20.0,False
132,Na NaTrey Songz,3.8651,64.0,67.0,47.599999999999994,32.800000000000004,23.5,96.975,Na Na,Trey Songz,21.0,2014,28.0,False
133,LifestyleRich Gang Featuring Young Thug & Rich Homie Quan,4.494883333333333,70.0,71.8,67.0,1.44,51.7,88.764,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16.0,2014,25.0,False
134,Live Like You Were DyingTim McGraw,5.00555,67.0,41.6,54.6,49.2,41.8,159.929,Live Like You Were Dying,Tim McGraw,29.0,2005,23.0,False
135,FalsettoThe-Dream,4.51955,57.0,72.8,55.7,15.2,51.2,131.018,Falsetto,The-Dream,30.0,2008,19.0,False
136,Mud On The TiresBrad Paisley,3.445333333333333,57.0,44.800000000000004,82.39999999999999,29.4,46.300000000000004,185.217,Mud On The Tires,Brad Paisley,30.0,2005,20.0,False
137,It Won't StopSevyn Streeter Featuring Chris Brown,4.684666666666667,68.0,65.7,57.4,1.6,21.099999999999998,119.992,It Won't Stop,Sevyn Streeter Featuring Chris Brown,30.0,2013,20.0,False
138,GirlfightBrooke Valentine Featuring Lil Jon & Big Boi,3.9122166666666667,42.0,74.5,62.0,1.31,60.3,99.985,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,23.0,2005,20.0,False
139,Hey BrotherAvicii,4.25155,78.0,53.7,77.7,2.79,42.699999999999996,124.943,Hey Brother,Avicii,16.0,2014,23.0,False
140,Good GirlCarrie Underwood,3.426,60.0,61.7,83.89999999999999,2.86,74.1,128.91,Good Girl,Carrie Underwood,18.0,2012,20.0,False
141,Number One SpotLudacris,4.574433333333333,50.0,47.8,95.1,3.18,53.400000000000006,146.096,Number One Spot,Ludacris,19.0,2005,16.0,False
142,New YorkJa Rule Featuring Fat Joe & Jadakiss,4.30355,55.0,54.2,80.4,25.5,59.699999999999996,93.06,New York,Ja Rule Featuring Fat Joe & Jadakiss,27.0,2005,14.0,False
143,House PartySam Hunt,3.1706666666666665,72.0,74.7,86.1,11.3,85.9,103.966,House Party,Sam Hunt,26.0,2015,20.0,False
144,Better Dig TwoThe Band Perry,3.244666666666667,56.0,64.0,66.9,41.3,64.60000000000001,155.844,Better Dig Two,The Band Perry,28.0,2013,20.0,False
145,Country Girl (Shake It For Me)Luke Bryan,3.759333333333333,73.0,64.5,90.4,2.93,67.10000000000001,105.97,Country Girl (Shake It For Me),Luke Bryan,22.0,2011,20.0,False
146,SOSRihanna,3.982,69.0,67.7,67.10000000000001,0.4,52.7,137.046,SOS,Rihanna,1.0,2006,28.0,True
147,Best Day Of My LifeAmerican Authors,3.2373333333333334,77.0,67.30000000000001,90.2,6.29,52.1,100.016,Best Day Of My Life,American Authors,11.0,2014,36.0,False
148,Break Up In A Small TownSam Hunt,3.8313333333333333,70.0,57.9,77.60000000000001,7.489999999999999,43.4,136.044,Break Up In A Small Town,Sam Hunt,32.0,2015,10.0,False
149,SummertimeKenny Chesney,3.4431,56.0,48.0,92.80000000000001,16.900000000000002,71.3,167.986,Summertime,Kenny Chesney,34.0,2006,20.0,False
150,RealizeColbie Caillat,4.068433333333333,60.0,69.89999999999999,60.699999999999996,14.2,15.6,123.95,Realize,Colbie Caillat,20.0,2008,26.0,False
151,Angel EyesLove And Theft,3.1104333333333334,62.0,65.60000000000001,69.6,1.34,96.6,108.015,Angel Eyes,Love And Theft,32.0,2012,20.0,False
152,Balla BabyChingy,3.5984333333333334,43.0,92.80000000000001,64.3,5.27,89.5,93.006,Balla Baby,Chingy,20.0,2005,18.0,False
153,Back WhenTim McGraw,4.498216666666667,45.0,60.4,75.9,6.2700000000000005,66.3,136.045,Back When,Tim McGraw,30.0,2005,19.0,False
154,Somewhere With YouKenny Chesney,4.058666666666666,61.0,68.0,84.89999999999999,8.62,53.6,111.969,Somewhere With You,Kenny Chesney,31.0,2011,20.0,False
155,Do ILuke Bryan,3.9902166666666665,63.0,58.099999999999994,69.1,25.7,29.9,137.985,Do I,Luke Bryan,34.0,2009,20.0,False
156,American RideToby Keith,2.76155,59.0,51.9,90.7,8.290000000000001,79.4,174.085,American Ride,Toby Keith,35.0,2009,16.0,False
157,Sexy LadyYung Berg Featuring Junior,3.8306666666666667,39.0,37.3,67.0,0.051000000000000004,27.400000000000002,184.977,Sexy Lady,Yung Berg Featuring Junior,18.0,2007,20.0,False
158,Bow Chicka Wow WowMike Posner Featuring Lil Wayne,3.7208833333333335,56.0,62.6,67.0,31.8,52.300000000000004,73.422,Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne,30.0,2011,16.0,False
159,Better Than MeHinder,3.72555,63.0,45.2,67.5,20.599999999999998,23.0,139.87,Better Than Me,Hinder,31.0,2007,20.0,False
160,She's EverythingBrad Paisley,4.448666666666667,66.0,35.5,47.8,56.89999999999999,26.900000000000002,102.971,She's Everything,Brad Paisley,35.0,2006,20.0,False
161,Doin' What She LikesBlake Shelton,3.7102166666666667,55.0,58.099999999999994,76.7,15.7,83.2,152.011,Doin' What She Likes,Blake Shelton,35.0,2014,17.0,False
162,Show StopperDanity Kane,3.820666666666667,55.0,75.5,40.8,1.3299999999999998,46.5,76.034,Show Stopper,Danity Kane,8.0,2006,20.0,True
