,song_id,duration_mins,popularity,danceability,energy,acousticness,valence,tempo,song,performer,peak_position,year,total_charting_weeks,top10
1208,LandslideGlee Cast Featuring Gwyneth Paltrow,3.779333333333333,45.0,63.7,41.6,43.4,58.8,145.922,Landslide,Glee Cast Featuring Gwyneth Paltrow,23.0,2011,2.0,False
1209,MagicColdplay,4.750233333333333,74.0,73.8,48.3,2.62,35.5,93.458,Magic,Coldplay,14.0,2014,14.0,False
1210,Life Of The PartyShawn Mendes,3.57555,73.0,66.7,61.4,6.63,16.1,113.979,Life Of The Party,Shawn Mendes,24.0,2014,2.0,False
1211,Everything I Didn't Say5 Seconds Of Summer,3.0070166666666664,48.0,37.8,91.4,1.73,38.3,174.94,Everything I Didn't Say,5 Seconds Of Summer,24.0,2014,1.0,False
1212,Life's What You Make ItHannah Montana,3.1411,44.0,63.3,93.60000000000001,4.1000000000000005,83.2,143.984,Life's What You Make It,Hannah Montana,25.0,2007,4.0,False
1213,Old Time's SakeEminem Featuring Dr. Dre,4.636,55.0,76.7,82.89999999999999,5.33,81.0,176.022,Old Time's Sake,Eminem Featuring Dr. Dre,25.0,2009,2.0,False
1214,Half Of My HeartJohn Mayer,4.172883333333333,67.0,68.10000000000001,59.3,43.5,73.1,115.058,Half Of My Heart,John Mayer,25.0,2009,20.0,False
1215,Favorite GirlJustin Bieber,4.28,57.0,58.199999999999996,69.39999999999999,5.35,64.3,176.047,Favorite Girl,Justin Bieber,26.0,2009,2.0,False
1216,Dream OnGlee Cast Featuring Neil Patrick Harris,4.568883333333333,49.0,41.699999999999996,62.2,1.28,22.400000000000002,154.022,Dream On,Glee Cast Featuring Neil Patrick Harris,26.0,2010,2.0,False
1217,DynamiteTaio Cruz,3.3977666666666666,72.0,75.4,80.4,0.332,81.8,119.968,Dynamite,Taio Cruz,2.0,2010,47.0,True
1218,HangoverPSY Featuring Snoop Dogg,3.9462166666666665,50.0,70.3,81.8,0.772,38.0,150.036,Hangover,PSY Featuring Snoop Dogg,26.0,2014,1.0,False
1219,"Mary, Did You Know?Pentatonix",3.38955,79.0,49.7,31.2,30.2,17.7,105.036,"Mary, Did You Know?",Pentatonix,26.0,2014,6.0,False
1220,Like A PrayerGlee Cast Featuring Jonathan Groff,5.254216666666666,47.0,54.400000000000006,87.1,19.7,31.1,111.004,Like A Prayer,Glee Cast Featuring Jonathan Groff,27.0,2010,2.0,False
1221,LuckyGlee Cast,3.126,56.0,63.1,46.7,54.300000000000004,66.9,130.051,Lucky,Glee Cast,27.0,2010,1.0,False
1222,InnocentTaylor Swift,5.03755,49.0,55.2,60.8,18.6,17.0,134.05,Innocent,Taylor Swift,27.0,2010,1.0,False
1223,My Life50 Cent Featuring Eminem & Adam Levine,3.9984333333333333,56.0,64.60000000000001,93.2,4.5,51.800000000000004,176.111,My Life,50 Cent Featuring Eminem & Adam Levine,27.0,2012,3.0,False
1224,Not Ready To Make NiceDixie Chicks,3.9549333333333334,63.0,42.5,55.400000000000006,13.4,28.799999999999997,83.917,Not Ready To Make Nice,Dixie Chicks,4.0,2007,24.0,True
1225,InvisibleAshlee Simpson,3.7437666666666667,28.0,54.7,83.5,16.7,69.69999999999999,168.364,Invisible,Ashlee Simpson,21.0,2006,4.0,False
1226,Nobody's PerfectHannah Montana,3.3471,57.0,59.3,97.0,7.03,80.9,131.995,Nobody's Perfect,Hannah Montana,27.0,2007,7.0,False
1227,It Will RainBruno Mars,4.295333333333334,68.0,57.599999999999994,83.5,33.7,47.599999999999994,150.017,It Will Rain,Bruno Mars,3.0,2011,29.0,True
1228,Kiss Me Kiss Me5 Seconds Of Summer,3.4103333333333334,51.0,47.5,94.19999999999999,0.0252,39.7,150.049,Kiss Me Kiss Me,5 Seconds Of Summer,28.0,2014,1.0,False
1229,Fire BurningSean Kingston,3.9997666666666665,70.0,83.89999999999999,80.4,1.92,88.8,122.973,Fire Burning,Sean Kingston,5.0,2009,21.0,True
1230,Hell Breaks LooseEminem Featuring Dr. Dre,4.069333333333334,51.0,68.5,88.4,12.3,90.2,79.903,Hell Breaks Loose,Eminem Featuring Dr. Dre,29.0,2010,1.0,False
1231,"Hey, Soul SisterGlee Cast",3.6757666666666666,47.0,66.5,53.300000000000004,58.9,62.9,97.035,"Hey, Soul Sister",Glee Cast,29.0,2010,1.0,False
1232,Hold TightJustin Bieber,4.236883333333333,53.0,45.6,60.8,28.7,49.1,58.875,Hold Tight,Justin Bieber,29.0,2013,1.0,False
1233,Lose My BreathDestiny's Child,4.03355,60.0,81.39999999999999,89.9,0.7270000000000001,54.50000000000001,119.011,Lose My Breath,Destiny's Child,3.0,2005,23.0,True
1234,Gotta Find YouJoe Jonas,4.0311,55.0,44.1,74.0,7.12,45.0,82.049,Gotta Find You,Joe Jonas,30.0,2008,3.0,False
1235,It's My Life / Confessions Part IIGlee Cast,1.85555,54.0,58.599999999999994,88.2,3.85,70.6,131.008,It's My Life / Confessions Part II,Glee Cast,30.0,2009,2.0,False
1236,I Just Had SexThe Lonely Island Featuring Akon,2.776,65.0,61.5,81.3,1.9300000000000002,79.9,167.991,I Just Had Sex,The Lonely Island Featuring Akon,30.0,2011,11.0,False
1237,Great Is Thy FaithfulnessJordan Smith,3.5691,40.0,30.099999999999998,37.9,91.9,33.5,83.828,Great Is Thy Faithfulness,Jordan Smith,30.0,2015,1.0,False
1238,I Dreamed A DreamGlee Cast Featuring Idina Menzel,3.13555,50.0,23.599999999999998,32.800000000000004,82.8,6.0600000000000005,170.914,I Dreamed A Dream,Glee Cast Featuring Idina Menzel,31.0,2010,2.0,False
1239,Gives You HellGlee Cast,3.4444333333333335,57.0,75.2,60.5,8.07,78.9,100.007,Gives You Hell,Glee Cast,32.0,2010,2.0,False
1240,Marry YouGlee Cast,3.7522166666666665,57.0,63.7,76.8,3.35,45.9,144.919,Marry You,Glee Cast,32.0,2010,2.0,False
1241,Fast LaneBad Meets Evil,4.1593333333333335,70.0,63.7,86.1,4.64,38.2,173.838,Fast Lane,Bad Meets Evil,32.0,2011,2.0,False
1242,Hot RevolverLil Wayne,3.3466666666666667,39.0,70.3,51.300000000000004,0.523,27.400000000000002,128.994,Hot Revolver,Lil Wayne,33.0,2009,3.0,False
1243,Light Up The WorldGlee Cast,3.72755,48.0,68.89999999999999,79.60000000000001,0.0599,85.7,118.029,Light Up The World,Glee Cast,33.0,2011,1.0,False
1244,Hello Good MorningDiddy - Dirty Money Featuring T.I.,3.6211,45.0,75.0,87.4,9.15,55.2,104.016,Hello Good Morning,Diddy - Dirty Money Featuring T.I.,27.0,2010,20.0,False
1245,Find Your LoveDrake,3.4824333333333333,62.0,62.3,59.8,2.46,82.19999999999999,96.081,Find Your Love,Drake,5.0,2010,21.0,True
1246,FireworkGlee Cast,3.7917666666666667,43.0,61.9,88.8,1.0999999999999999,44.2,124.029,Firework,Glee Cast,34.0,2011,2.0,False
1247,FridayGlee Cast,3.8011,47.0,65.7,84.8,0.29,78.4,126.002,Friday,Glee Cast,34.0,2011,2.0,False
1248,Locked Out Of HeavenBruno Mars,3.8913,79.0,72.6,69.8,4.9,86.7,143.994,Locked Out Of Heaven,Bruno Mars,1.0,2012,36.0,True
1249,Good Girls5 Seconds Of Summer,3.440383333333333,57.0,53.1,91.5,1.31,55.7,141.06,Good Girls,5 Seconds Of Summer,34.0,2014,2.0,False
1250,If Today Was Your Last DayNickelback,4.1511,69.0,48.5,91.10000000000001,0.00867,56.8,89.956,If Today Was Your Last Day,Nickelback,19.0,2009,22.0,False
1251,HelloGlee Cast Featuring Jonathan Groff,3.434,52.0,58.599999999999994,30.0,81.2,31.900000000000002,121.766,Hello,Glee Cast Featuring Jonathan Groff,35.0,2010,1.0,False
1252,Lovers And FriendsLil Jon & The East Side Boyz Featuring Usher & Ludacris,4.343333333333334,65.0,67.5,50.1,5.41,53.2,139.861,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,3.0,2005,22.0,True
1253,I Want To Hold Your HandGlee Cast,2.605766666666667,47.0,48.4,26.1,66.4,21.5,78.015,I Want To Hold Your Hand,Glee Cast,36.0,2010,1.0,False
